platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,OCR_TOOL_ARGS_MISMATCH,OCR_TOOL_RESULT_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED,DB_UPDATE_TOOL_ERROR
M3-Max,qwen2.5_3b,overall,1,0.14898989898989898,90835.161119,45.87634399949495,95.34486803999273,16.436363636363637,11.85773386270998,1980,1629,295,27.0,17.0,10,1.0,1.0,,,,
M3-Max,qwen2.5_3b,vision,1,0.09494949494949495,55167.287688000004,55.72453301818182,80.01264822023373,12.896969696969697,7.763405569431575,990,866,94,18.0,9.0,1,1.0,1.0,0.9946425690795436,0.03352532355006003,,
M3-Max,qwen2.5_3b,non-vision,1,0.20303030303030303,35667.873431,36.02815498080808,107.67676544207222,19.975757575757576,14.00012343517079,990,763,201,9.0,8.0,9,,,,,,
M3-Max,qwen2.5_7b,overall,1,0.5853535353535354,169993.906976,85.85550857373737,95.91417340564661,20.683333333333334,21.287089915468176,1980,41,1159,,26.0,456,,,,,297.0,1.0
M3-Max,qwen2.5_7b,vision,1,0.4686868686868687,97824.957799,98.81308868585859,104.27178997325466,19.87070707070707,21.781511127607132,990,36,464,,25.0,167,,,0.696769980348722,0.45646998541608225,297.0,1.0
M3-Max,qwen2.5_7b,non-vision,1,0.702020202020202,72168.949177,72.89792846161616,84.85054912964195,21.495959595959597,20.760112933642176,990,5,695,,1.0,289,,,,,,
M3-Max,qwen2.5_14b,overall,1,0.9702020202020202,118897.62412,60.04930511111111,20.52772141510193,8.562626262626262,1.6575480566481935,1980,16,1921,1.0,2.0,39,,1.0,,,,
M3-Max,qwen2.5_14b,vision,1,0.9515151515151515,74416.068355,75.1677458131313,16.319574939442294,9.102020202020203,2.144595096752561,990,15,942,1.0,,31,,1.0,0.995652830901772,0.011065141310625224,,
M3-Max,qwen2.5_14b,non-vision,1,0.9888888888888889,44481.555765000005,44.930864409090916,10.921333413223053,8.023232323232323,0.5620862991123378,990,1,979,,2.0,8,,,,,,
