platform,model,type,task_completion_rate,task_success_rate,total_execution_time,mean_execution_time,std_execution_time,mean_process_steps,std_process_steps,total_tasks,DB_UPDATE_TOOL_NOT_INITIALIZED,SUCCESS,DB_UPDATE_TOOL_ARGS_MISMATCH,DB_QUERY_TOOL_NOT_INITIALIZED,DB_QUERY_TOOL_ARGS_MISMATCH,DB_UPDATE_TOOL_ERROR,OCR_TOOL_RESULT_MISMATCH,OCR_TOOL_ARGS_MISMATCH,mean_ocr_bert_f1,std_ocr_bert_f1,OCR_TOOL_NOT_INITIALIZED
RTX-4090_r3,qwen2.5_3b,overall,1,0.13131313131313133,21695.334635,10.957239714646464,31.096118658597085,17.242424242424242,12.511735498977757,1980,1643,260,36.0,21,15,3.0,1.0,1.0,,,
RTX-4090_r3,qwen2.5_3b,vision,1,0.08383838383838384,9503.314099,9.59930717070707,42.14398063636002,12.66969696969697,7.089845977517783,990,884,83,16.0,1,4,,1.0,1.0,0.9929935365614265,0.03451050448137504,
RTX-4090_r3,qwen2.5_3b,non-vision,1,0.1787878787878788,12192.020536,12.315172258585859,12.454241059486172,21.815151515151516,14.870018992607859,990,759,177,20.0,20,11,3.0,,,,,
RTX-4090_r3,qwen2.5_7b,overall,1,0.49343434343434345,24863.201408,12.55717242828283,14.711191977937418,16.868181818181817,20.287531367359097,1980,18,977,1.0,370,8,,,,,,606.0
RTX-4090_r3,qwen2.5_7b,vision,1,0.2505050505050505,9115.188792,9.207261406060606,14.833663700040194,12.93030303030303,19.924635327436626,990,11,248,1.0,117,7,,,,0.3855368864054632,0.4846428974646067,606.0
RTX-4090_r3,qwen2.5_7b,non-vision,1,0.7363636363636363,15748.012616,15.90708345050505,13.804096680576635,20.806060606060605,19.888383275642873,990,7,729,,253,1,,,,,,
RTX-4090_r3,qwen2.5_14b,overall,1,0.9737373737373738,24793.655764000003,12.522048365656566,11.297970492739191,8.610606060606061,2.103772841380217,1980,19,1928,1.0,29,2,,1.0,,,,
RTX-4090_r3,qwen2.5_14b,vision,1,0.9595959595959596,14681.66492,14.829964565656566,15.245935602625726,9.084848484848484,1.9213222000047967,990,16,950,1.0,21,1,,1.0,,0.9939651365834054,0.013945638266686159,
RTX-4090_r3,qwen2.5_14b,non-vision,1,0.9878787878787879,10111.990844,10.214132165656565,3.5092819973649516,8.136363636363637,2.171278392450786,990,3,978,,8,1,,,,,,
